time,open,high,low,close,volume,return
2020-09-28 07:00:00,911.2,913.6,910.04,912.5,378529100,0.004657205456527258
2020-09-29 07:00:00,916.63,917.49,903.98,903.98,438172690,-0.00933698630136981
2020-09-30 07:00:00,904.34,907.0,900.74,905.21,310162690,0.001360649571893191
2020-10-01 07:00:00,910.13,914.09,909.13,914.09,330218020,0.009809878370764746
2020-10-02 07:00:00,915.62,916.67,897.72,909.91,501297560,-0.004572853876533056
2020-10-05 07:00:00,913.77,915.55,909.91,914.68,420759580,0.005242276708685489
2020-10-06 07:00:00,918.11,918.93,912.77,915.67,472545310,0.001082345738400381
2020-10-07 07:00:00,913.62,923.57,912.69,919.72,496266530,0.004422990815468486
2020-10-08 07:00:00,922.08,922.08,913.89,918.84,446311540,-0.000956812943069596
2020-10-09 07:00:00,919.48,924.0,917.7,924.0,343796560,0.005615776413739004
2020-10-12 07:00:00,930.78,933.13,923.28,925.83,414162820,0.0019805194805195825
2020-10-13 07:00:00,926.76,930.96,923.78,929.86,322972210,0.004352850955358978
2020-10-14 07:00:00,931.89,940.18,929.86,940.18,386750560,0.011098444927193363
2020-10-15 07:00:00,945.28,945.93,938.7,942.76,439631740,0.002744155374502899
2020-10-16 07:00:00,944.03,946.23,935.98,943.3,395580380,0.0005727862870719136
2020-10-19 07:00:00,945.01,946.29,941.92,943.69,353154450,0.00041344217110150794
2020-10-20 07:00:00,941.0,944.54,937.32,944.42,385659020,0.000773559113691924
2020-10-21 07:00:00,947.16,948.2,939.0,939.03,372347380,-0.0057072065394633276
2020-10-22 07:00:00,938.06,949.9,933.78,949.9,316297780,0.011575775001863686
2020-10-23 07:00:00,953.45,961.26,953.14,961.26,392430900,0.011959153595115346
2020-10-26 07:00:00,967.52,970.15,950.8,950.8,404773940,-0.010881551297255765
2020-10-27 07:00:00,952.61,954.72,946.28,946.47,414913610,-0.0045540597391668936
2020-10-28 07:00:00,942.82,946.91,921.05,921.05,433068340,-0.02685769226705559
2020-10-29 07:00:00,916.49,925.84,914.33,919.08,355910070,-0.002138863253894896
2020-10-30 07:00:00,925.41,926.32,911.2,925.47,297619160,0.00695260477869164
2020-11-02 07:00:00,926.09,933.68,924.14,933.68,273082480,0.008871168163203436
2020-11-03 07:00:00,936.73,937.57,932.18,935.41,302847830,0.0018528832148059227
2020-11-04 07:00:00,937.62,943.56,933.86,939.76,327410490,0.004650367218652862
2020-11-05 07:00:00,940.32,945.51,937.75,937.75,270446750,-0.002138843960160064
2020-11-06 07:00:00,939.73,941.2,934.63,938.29,249258850,0.0005758464409491015
2020-11-09 07:00:00,942.15,951.99,942.15,951.99,369592050,0.014601029532447463
2020-11-10 07:00:00,962.68,963.47,951.9,951.9,422041040,-9.453880818077742e-05
2020-11-11 07:00:00,954.46,956.65,947.61,952.22,353735780,0.00033616976573180857
2020-11-12 07:00:00,953.97,959.28,953.62,959.28,320081130,0.00741425300875842
2020-11-13 07:00:00,959.56,966.29,959.13,966.29,419678370,0.00730756400633803
2020-11-16 07:00:00,970.11,972.98,950.5,950.79,484179810,-0.016040733113247607
2020-11-17 07:00:00,955.52,968.9,953.22,968.9,371415910,0.019047318545630576
2020-11-18 07:00:00,969.48,974.3,966.32,973.53,446206150,0.004778614924140667
2020-11-19 07:00:00,975.32,983.26,974.33,983.26,473474550,0.009994555894528245
2020-11-20 07:00:00,984.71,990.0,980.72,990.0,471526920,0.006854748489717899
2020-11-23 07:00:00,991.87,995.9,985.38,994.19,450110750,0.004232323232323365
2020-11-24 07:00:00,996.55,997.99,984.92,995.76,511566140,0.0015791750067892796
2020-11-25 07:00:00,1000.39,1002.31,996.8,999.94,445346780,0.004197798666345287
2020-11-26 07:00:00,999.24,1005.97,994.91,1005.97,411338400,0.00603036182170924
2020-11-27 07:00:00,1006.68,1010.22,1004.0,1010.22,381723340,0.004224778074892965
2020-11-30 07:00:00,1011.82,1012.5,1002.61,1003.08,450045450,-0.007067767416998216
2020-12-01 07:00:00,988.71,1008.87,988.71,1008.87,536207660,0.005772221557602597
2020-12-02 07:00:00,1008.77,1015.86,1007.91,1014.32,484658120,0.005402083519184808
2020-12-03 07:00:00,1016.73,1020.35,1014.06,1019.8,496771120,0.005402634277151153
2020-12-04 07:00:00,1020.49,1025.17,1018.67,1021.49,527019060,0.0016571876838595845
2020-12-07 07:00:00,1024.34,1030.41,1022.14,1029.98,473554480,0.008311388266160291
2020-12-08 07:00:00,1030.88,1032.58,1025.63,1029.26,501250780,-0.000699042699858321
2020-12-09 07:00:00,1031.19,1039.55,1030.24,1039.13,554755640,0.009589413753570586
2020-12-10 07:00:00,1041.65,1044.1,1030.91,1030.91,566339280,-0.007910463560863445
2020-12-11 07:00:00,1033.19,1045.96,1030.06,1045.96,413852370,0.014598752558419248
2020-12-14 07:00:00,1048.97,1064.09,1048.97,1064.09,506310660,0.017333358828253376
2020-12-15 07:00:00,1062.02,1067.45,1052.01,1055.27,621133560,-0.008288772566230285
2020-12-16 07:00:00,1058.34,1066.99,1057.21,1066.99,556546890,0.011106162403934583
2020-12-17 07:00:00,1065.85,1066.99,1051.42,1051.77,634682600,-0.014264426095839777
2020-12-18 07:00:00,1055.75,1068.56,1055.75,1067.46,560068250,0.01491771014575427
2020-12-21 07:00:00,1071.62,1081.6,1070.86,1081.08,660479750,0.01275926030015162
2020-12-22 07:00:00,1081.85,1084.23,1077.06,1083.45,695860800,0.0021922521922523863
2020-12-23 07:00:00,1087.89,1094.09,1077.92,1078.9,742856110,-0.004199547741012499
2020-12-24 07:00:00,1083.83,1084.76,1046.89,1067.52,686557640,-0.010547780146445529
2020-12-25 07:00:00,1068.83,1084.42,1061.83,1084.42,592212900,0.015831085131894573
2020-12-28 07:00:00,1094.37,1096.11,1083.9,1091.33,663869090,0.006372069862230267
2020-12-29 07:00:00,1090.49,1102.79,1087.93,1099.49,618010510,0.007477115079765229
2020-12-30 07:00:00,1099.78,1108.83,1094.91,1097.54,619802880,-0.0017735495547935853
2020-12-31 07:00:00,1098.25,1105.33,1096.27,1103.87,500978800,0.005767443555587892
2021-01-04 07:00:00,1113.77,1126.43,1113.59,1120.47,709701600,0.015038002663357197
2021-01-05 07:00:00,1116.96,1133.16,1116.49,1132.55,710226500,0.01078119003632394
2021-01-06 07:00:00,1139.12,1152.85,1133.7,1143.21,725414800,0.00941238797404087
2021-01-07 07:00:00,1147.26,1156.49,1143.44,1156.49,719527100,0.011616413432352646
2021-01-08 07:00:00,1164.1,1176.33,1160.48,1167.69,763095900,0.009684476303297052
2021-01-11 07:00:00,1176.47,1186.45,1175.0,1184.89,776321700,0.014729936883933314
2021-01-12 07:00:00,1190.38,1192.28,1179.24,1192.28,683329700,0.006236865869405417
2021-01-13 07:00:00,1197.32,1200.82,1183.18,1186.05,747161400,-0.005225282651726171
2021-01-14 07:00:00,1189.48,1190.5,1178.84,1187.4,737417900,0.0011382319463766333
2021-01-15 07:00:00,1188.84,1197.74,1188.84,1194.2,746215900,0.005726798046151282
2021-01-18 07:00:00,1198.79,1200.85,1190.33,1191.94,711741000,-0.0018924803215542019
2021-01-19 07:00:00,1189.91,1191.94,1117.17,1131.0,923105700,-0.0511267345671762
2021-01-20 07:00:00,1136.5,1142.48,1098.05,1134.68,802789200,0.0032537577365163717
2021-01-21 07:00:00,1146.86,1164.21,1132.66,1164.21,666008100,0.026024958578630075
2021-01-22 07:00:00,1166.77,1175.72,1161.43,1166.78,716238000,0.002207505518763808
2021-01-25 07:00:00,1164.2,1172.18,1162.8,1166.05,665737500,-0.0006256535079449677
2021-01-26 07:00:00,1164.97,1166.05,1121.03,1136.12,743159100,-0.02566785300801855
2021-01-27 07:00:00,1122.41,1132.99,1088.86,1097.17,745071300,-0.034283350350314934
2021-01-28 07:00:00,1041.71,1052.16,1022.77,1023.94,698605600,-0.0667444425203022
2021-01-29 07:00:00,998.33,1076.11,998.33,1056.61,743995900,0.031906166376935996
2021-02-01 07:00:00,1062.13,1074.52,1035.51,1035.51,588446500,-0.019969525179583725
2021-02-02 07:00:00,1036.95,1075.53,1029.36,1075.53,554905500,0.038647622910449986
2021-02-03 07:00:00,1084.87,1113.24,1082.95,1111.29,635966100,0.033248723884968356
2021-02-04 07:00:00,1112.97,1117.88,1098.85,1112.19,471356200,0.0008098696109926085
2021-02-05 07:00:00,1114.79,1126.91,1112.19,1126.91,458710000,0.013235148670640795
2021-02-08 07:00:00,1127.06,1127.06,1075.1,1083.18,635387600,-0.03880522845657597
2021-02-09 07:00:00,1090.88,1114.93,1078.98,1114.93,490182000,0.029311841060580823
2021-02-17 07:00:00,1127.46,1151.54,1127.46,1155.78,459215000,0.036639071511215926
2021-02-18 07:00:00,1157.1,1174.38,1148.66,1174.38,585040700,0.01609302808492985
2021-02-19 07:00:00,1160.65,1178.18,1157.6,1173.5,547575400,-0.0007493315621861507
2021-02-22 07:00:00,1173.57,1182.67,1169.12,1175.04,571176900,0.0013123135918193807
2021-02-23 07:00:00,1174.57,1184.32,1168.32,1177.64,571704900,0.0022126906318082895
2021-02-24 07:00:00,1184.32,1185.58,1154.36,1162.01,572631700,-0.013272307326517518
2021-02-25 07:00:00,1169.97,1169.97,1155.74,1165.43,493051100,0.002943176048398888
2021-02-26 07:00:00,1148.88,1169.28,1148.88,1168.47,528150000,0.002608479273744413
2021-03-01 07:00:00,1176.93,1186.82,1174.45,1186.17,593011800,0.015148014069680915
2021-03-02 07:00:00,1196.16,1196.16,1181.99,1186.61,533302200,0.0003709417705723972
2021-03-03 07:00:00,1184.73,1189.18,1180.25,1186.95,584537200,0.00028653053657068384
2021-03-04 07:00:00,1191.78,1191.9,1159.48,1168.52,629649100,-0.01552719154134552
2021-03-05 07:00:00,1164.19,1169.56,1155.6,1168.69,568265900,0.0001454831752987218
2021-03-08 07:00:00,1180.33,1181.25,1164.02,1168.27,627495500,-0.0003593767380571933
2021-03-09 07:00:00,1160.96,1166.42,1150.94,1161.97,613096200,-0.00539258904191664
2021-03-10 07:00:00,1163.86,1170.59,1154.89,1170.08,569498400,0.006979526149556214
2021-03-11 07:00:00,1180.31,1183.73,1176.49,1181.73,586252400,0.009956584165185411
2021-03-12 07:00:00,1185.21,1186.52,1178.14,1181.56,595631800,-0.00014385688778317807
2021-03-15 07:00:00,1183.89,1186.06,1178.8,1184.56,634609700,0.002539016215850287
2021-03-16 07:00:00,1184.91,1184.91,1171.76,1179.9,629617900,-0.003933950158708566
2021-03-17 07:00:00,1178.64,1186.09,1176.26,1186.09,648766800,0.005246207305703798
2021-03-18 07:00:00,1196.6,1200.94,1191.94,1200.94,570101600,0.012520129163891447
2021-03-19 07:00:00,1195.47,1199.67,1191.96,1194.05,600925800,-0.005737172548170633
2021-03-22 07:00:00,1200.05,1200.21,1189.31,1194.43,626610700,0.00031824462962193323
2021-03-23 07:00:00,1190.28,1191.47,1177.1,1183.45,643583000,-0.009192669306698598
2021-03-24 07:00:00,1169.42,1174.2,1154.22,1161.81,649741100,-0.01828552114580262
2021-03-25 07:00:00,1164.41,1170.76,1154.44,1163.1,613916000,0.0011103364577684793
2021-03-26 07:00:00,1162.71,1165.76,1137.9,1162.21,630516500,-0.00076519645774209
2021-03-29 07:00:00,1169.65,1175.77,1165.78,1175.68,592790900,0.0115899880400272
2021-03-30 07:00:00,1179.64,1187.29,1172.85,1186.36,707543000,0.009084104518236158
2021-03-31 07:00:00,1187.44,1196.45,1186.4,1191.44,670504300,0.004282005462085792
2021-04-01 07:00:00,1194.59,1217.26,1192.83,1216.1,637059200,0.020697643188074766
2021-04-02 07:00:00,1225.76,1228.29,1221.07,1224.45,608762900,0.006866211660225385
2021-04-05 07:00:00,1245.28,1245.28,1228.18,1236.05,635303500,0.009473641226673157
2021-04-06 07:00:00,1233.37,1244.63,1231.14,1239.96,656481800,0.003163302455402306
